DDPG_small,DDPG_small_plus,DDPG_small_ultra,DDPG_medium,DDPG_medium_plus,DDPG_medium_ultra,DDPG_large,DDPG_large_plus,DDPG_large_ultra,MALA,fisher_MALA,rwm,NUTS_1c,NUTS_4c
0.11523,0.11523,0.11523,0.11523,0.11523,0.11523,0.11523,0.11523,0.11523,0.1162,0.1211,0.11523,0.1172,0.1172
0.1113,0.1074,0.1133,0.1074,0.10254,0.10645,0.1123,0.1133,0.1084,0.1162,0.11523,0.1113,0.11035,0.11035
0.11035,0.1074,0.1074,0.1094,0.10645,0.10645,0.1074,0.1113,0.10645,0.1162,0.11426,0.11426,0.1074,0.1113
0.1084,0.10645,0.10645,0.1074,0.10547,0.10645,0.1074,0.1074,0.10645,0.1162,0.11426,0.1084,0.10547,0.1074
0.1074,0.1074,0.1074,0.10645,0.10645,0.10645,0.1084,0.1074,0.10547,0.1133,0.1133,0.1074,0.10645,0.10645
0.10645,0.1074,0.1074,0.10645,0.10645,0.10645,0.0801,0.10645,0.10645,0.11426,0.11426,0.1084,0.10645,0.10547
0.10645,0.10645,0.1074,0.10645,0.10645,0.10645,0.2803,0.10645,0.10645,0.1084,0.11426,0.1074,0.10645,0.10645
0.10645,0.10645,0.10645,0.10645,0.10645,0.04004,0.3413,0.10645,0.10645,0.1074,0.11523,0.10645,0.10645,0.10645
0.10645,0.0674,0.10645,0.0928,0.10645,0.166,0.3684,0.10645,0.10645,0.10645,0.11426,0.10645,0.10645,0.10547
0.0654,0.2261,0.10645,0.09424,0.02051,0.2773,0.4136,0.10547,0.10645,0.10645,0.11426,0.10645,0.10547,0.10645
0.0737,0.3381,0.04102,0.2241,0.09717,0.3496,0.434,0.10645,0.10645,0.10547,0.11426,0.10547,0.10645,0.10645
