DDPG_small,DDPG_small_plus,DDPG_small_ultra,DDPG_medium,DDPG_medium_plus,DDPG_medium_ultra,DDPG_large,DDPG_large_plus,DDPG_large_ultra,MALA,fisher_MALA,rwm,NUTS_1c,NUTS_4c
0.7354,0.7354,0.7354,0.7354,0.7354,0.7354,0.7354,0.7354,0.7354,0.7373,0.808,0.7354,0.7607,0.7607
0.6914,0.53,0.6455,0.503,0.4707,0.463,0.71,0.6787,0.481,0.676,0.6016,0.482,0.4778,0.6533
0.63,0.3413,0.5864,0.5264,0.302,0.3184,0.5244,0.593,0.4622,0.675,0.6133,0.538,0.313,0.4558
0.431,0.25,0.413,0.336,0.2063,0.247,0.3218,0.5977,0.324,0.6953,0.549,0.4211,0.2903,0.287
0.4036,0.2627,0.3198,0.2651,0.24,0.2396,0.35,0.5225,0.3057,0.7,0.5415,0.417,0.272,0.287
0.3794,0.287,0.314,0.2323,0.2666,0.269,0.3516,0.5293,0.313,0.706,0.5117,0.4346,0.3066,0.3164
0.3528,0.294,0.3098,0.2316,0.2642,0.2983,0.3809,0.552,0.322,0.6885,0.534,0.371,0.3435,0.345
0.3572,0.2307,0.2666,0.22,0.2074,0.2366,0.2979,0.4946,0.2598,0.685,0.5527,0.3872,0.3442,0.3484
0.3386,0.2457,0.286,0.2263,0.189,0.2222,0.3032,0.4807,0.2637,0.6743,0.5547,0.3662,0.2864,0.289
0.3213,0.23,0.2876,0.2362,0.1862,0.2058,0.295,0.4456,0.2559,0.6504,0.5684,0.37,0.2632,0.2964
0.2969,0.2048,0.2391,0.25,0.1973,0.1854,0.2444,0.3887,0.2327,0.635,0.58,0.3794,0.254,0.2654
0.2935,0.2047,0.2396,0.271,0.2145,0.1787,0.2427,0.406,0.2189,0.631,0.583,0.374,0.2515,0.2778
0.281,0.2002,0.231,0.2585,0.2319,0.1904,0.2651,0.377,0.196,0.593,0.588,0.37,0.2437,0.2883
0.2773,0.2073,0.2358,0.2338,0.2369,0.1929,0.2866,0.3735,0.2057,0.5615,0.548,0.3716,0.2417,0.2737
0.2915,0.216,0.2446,0.2388,0.2546,0.1865,0.2778,0.3462,0.2036,0.549,0.5317,0.376,0.2218,0.2886
0.2905,0.1974,0.2249,0.2462,0.2515,0.1837,0.2607,0.3262,0.211,0.524,0.5254,0.3828,0.2216,0.3022
0.2744,0.2008,0.1989,0.2266,0.2291,0.1954,0.2323,0.302,0.1863,0.5254,0.5356,0.3955,0.2247,0.288
0.2568,0.1837,0.1893,0.2151,0.2024,0.1825,0.2236,0.2856,0.166,0.5205,0.5303,0.4077,0.2264,0.2817
0.2654,0.1924,0.1971,0.2241,0.1981,0.1829,0.2339,0.287,0.1674,0.526,0.535,0.414,0.2214,0.289
0.2656,0.1995,0.1973,0.2296,0.1906,0.1776,0.2358,0.2925,0.1725,0.527,0.542,0.427,0.202,0.2847
