DDPG_small,DDPG_small_plus,DDPG_small_ultra,DDPG_medium,DDPG_medium_plus,DDPG_medium_ultra,DDPG_large,DDPG_large_plus,DDPG_large_ultra,MALA,fisher_MALA,rwm,NUTS_1c,NUTS_4c
0.1006,0.10645,0.10254,0.11523,0.1035,0.1094,0.1035,0.1035,0.1211,0.0879,0.38,0.2021,0.3545,0.3545
0.287,0.1895,0.2852,0.2412,0.293,0.2637,0.2773,0.2852,0.2832,0.09375,0.3535,0.1904,0.3242,0.1787
0.3203,0.254,0.3193,0.2754,0.3154,0.3174,0.3037,0.296,0.3027,0.1084,0.3486,0.07324,0.3486,0.1699
0.335,0.3174,0.336,0.1592,0.3232,0.334,0.3232,0.3223,0.3164,0.1475,0.3486,0.1533,0.3438,0.1572
0.334,0.329,0.3438,0.2197,0.333,0.336,0.3408,0.3428,0.3252,0.2002,0.3467,0.0967,0.3418,0.1592
0.3418,0.334,0.3398,0.1602,0.3398,0.2031,0.3418,0.3408,0.332,0.2568,0.3477,0.04688,0.337,0.1533
0.3438,0.1738,0.3447,0.01465,0.3438,0.1572,0.2275,0.3467,0.3398,0.2998,0.3477,0.009766,0.337,0.1514
0.3428,0.1709,0.3438,0.04102,0.3418,0.0713,0.1768,0.3447,0.3428,0.3193,0.3477,0.004883,0.3408,0.1514
0.3418,0.2363,0.3447,0.03516,0.295,0.00586,0.1572,0.3428,0.3398,0.33,0.3477,0.003906,0.3408,0.1523
0.2363,0.2725,0.3115,0.1787,0.3223,0.001953,0.1523,0.3418,0.3398,0.337,0.3477,0.000977,0.3418,0.1533
0.1709,0.1826,0.04688,0.2148,0.0957,0.000977,0.1533,0.3418,0.3408,0.3389,0.3486,0.001953,0.3408,0.1533
