DDPG_small,DDPG_small_plus,DDPG_small_ultra,DDPG_medium,DDPG_medium_plus,DDPG_medium_ultra,DDPG_large,DDPG_large_plus,DDPG_large_ultra,MALA,fisher_MALA,rwm,NUTS_1c,NUTS_4c
0.1006,0.10645,0.10254,0.11523,0.1035,0.1094,0.1035,0.1035,0.1211,0.0879,0.38,0.2021,0.3545,0.3545
0.1133,0.1445,0.11523,0.1543,0.1436,0.1494,0.1338,0.1582,0.1748,0.0879,0.3555,0.0879,0.3965,0.1816
0.1484,0.1709,0.1582,0.1914,0.1865,0.1875,0.1826,0.1953,0.2285,0.0879,0.3477,0.1113,0.3682,0.1865
0.1855,0.1787,0.1963,0.2246,0.2197,0.2139,0.2002,0.206,0.252,0.08887,0.3555,0.1074,0.3613,0.1777
0.2109,0.206,0.2197,0.249,0.2305,0.2285,0.2285,0.2256,0.2637,0.08984,0.3516,0.11035,0.3584,0.1836
0.2354,0.2295,0.2324,0.2617,0.252,0.2451,0.249,0.2422,0.2754,0.0908,0.3525,0.127,0.3525,0.1719
0.252,0.2422,0.251,0.2705,0.2637,0.2559,0.2598,0.253,0.2852,0.0908,0.3555,0.1465,0.333,0.1807
0.2598,0.168,0.2578,0.2793,0.2676,0.2607,0.2754,0.2725,0.2773,0.0918,0.3506,0.165,0.3262,0.1748
0.2734,0.1768,0.2725,0.2842,0.2812,0.2588,0.2764,0.2764,0.2812,0.0928,0.3525,0.1807,0.3242,0.1719
0.287,0.1895,0.2852,0.2412,0.293,0.2637,0.2773,0.2852,0.2832,0.09375,0.3535,0.1904,0.3242,0.1787
0.289,0.2031,0.2861,0.209,0.291,0.2725,0.288,0.2979,0.2852,0.09375,0.3525,0.1455,0.3281,0.1826
0.296,0.2148,0.292,0.2119,0.296,0.2764,0.296,0.295,0.2842,0.0967,0.3555,0.1172,0.333,0.1758
0.3027,0.2275,0.2969,0.2188,0.3018,0.2861,0.3018,0.291,0.292,0.09766,0.3555,0.10156,0.33,0.1699
0.3086,0.2344,0.3037,0.2266,0.3076,0.295,0.3037,0.291,0.2979,0.09863,0.3535,0.0928,0.336,0.165
0.3057,0.2402,0.3027,0.2334,0.3076,0.295,0.3047,0.2979,0.2988,0.1006,0.3545,0.08594,0.3408,0.169
0.3135,0.2432,0.3096,0.2373,0.3125,0.3018,0.3037,0.296,0.3066,0.10254,0.3535,0.083,0.3457,0.1699
0.3115,0.2451,0.3096,0.248,0.3096,0.3076,0.3027,0.293,0.3008,0.1035,0.3535,0.084,0.3496,0.1709
0.3145,0.2471,0.3154,0.2588,0.3125,0.3115,0.3008,0.292,0.2988,0.10547,0.3525,0.0664,0.3486,0.169
0.3164,0.251,0.3154,0.2666,0.3154,0.3154,0.3008,0.292,0.2998,0.1074,0.3496,0.06934,0.3486,0.167
0.3203,0.254,0.3193,0.2754,0.3154,0.3174,0.3037,0.296,0.3027,0.1084,0.3486,0.07324,0.3486,0.1699
0.3232,0.2617,0.3223,0.2734,0.3174,0.3164,0.3076,0.3008,0.3086,0.11035,0.3496,0.08105,0.3467,0.1719
0.3203,0.2686,0.3213,0.2568,0.3125,0.3193,0.3057,0.2988,0.3047,0.1133,0.3467,0.08594,0.3516,0.1719
0.3242,0.2754,0.3242,0.2441,0.3135,0.3184,0.3086,0.3047,0.3066,0.11426,0.3486,0.0908,0.3457,0.169
0.3242,0.2803,0.3232,0.2285,0.3164,0.3223,0.3096,0.3037,0.3076,0.11523,0.3477,0.0957,0.3418,0.168
0.3271,0.2852,0.3262,0.2148,0.3184,0.3242,0.3086,0.3047,0.3096,0.1162,0.3467,0.1006,0.3438,0.167
0.329,0.288,0.3262,0.207,0.3232,0.3271,0.3096,0.3057,0.3105,0.11816,0.3477,0.10645,0.3438,0.168
0.331,0.292,0.3271,0.1953,0.3213,0.3281,0.3115,0.3076,0.3086,0.1211,0.3496,0.10254,0.3438,0.169
0.331,0.294,0.3252,0.1885,0.3184,0.329,0.3145,0.3105,0.3096,0.1211,0.3486,0.1006,0.3428,0.168
0.333,0.2979,0.33,0.1807,0.3213,0.329,0.3154,0.3135,0.3096,0.12305,0.3496,0.10156,0.3438,0.169
0.329,0.3008,0.3262,0.1768,0.3203,0.3252,0.3184,0.3174,0.3125,0.125,0.3496,0.1006,0.3447,0.167
0.329,0.2998,0.3262,0.1719,0.3174,0.3232,0.3223,0.3203,0.3115,0.127,0.3506,0.0996,0.3447,0.1641
0.331,0.3008,0.329,0.165,0.3154,0.3223,0.3242,0.3232,0.3115,0.127,0.3506,0.1006,0.3467,0.165
0.33,0.3027,0.331,0.1592,0.3174,0.3242,0.3262,0.3252,0.3125,0.1299,0.3506,0.0996,0.3467,0.1621
0.3271,0.3037,0.329,0.1543,0.3154,0.3242,0.3252,0.3252,0.3105,0.1309,0.3486,0.1035,0.3467,0.1631
0.3271,0.3047,0.329,0.1533,0.3145,0.3242,0.3271,0.3262,0.3115,0.1328,0.3486,0.1074,0.3457,0.1631
0.3281,0.3057,0.3271,0.1514,0.3164,0.3262,0.3252,0.3262,0.3135,0.1338,0.3486,0.1113,0.3457,0.1631
0.329,0.3076,0.3281,0.1504,0.3174,0.3281,0.3232,0.3252,0.3145,0.1357,0.3477,0.11523,0.3428,0.1621
0.33,0.3086,0.33,0.1523,0.3184,0.33,0.3203,0.3213,0.3145,0.1367,0.3486,0.1201,0.3408,0.1611
0.329,0.3115,0.329,0.1504,0.3174,0.332,0.3184,0.3184,0.3145,0.1387,0.3486,0.1211,0.3418,0.1611
0.33,0.3096,0.3281,0.1504,0.3184,0.333,0.3174,0.3174,0.3145,0.1387,0.3496,0.124,0.3428,0.1602
0.331,0.3066,0.3281,0.1484,0.3174,0.336,0.3164,0.3154,0.3125,0.1406,0.3496,0.1289,0.3428,0.1602
0.333,0.3076,0.33,0.1504,0.3184,0.337,0.3154,0.3135,0.3145,0.1416,0.3496,0.1299,0.3408,0.1611
0.337,0.3086,0.334,0.1494,0.3203,0.335,0.3154,0.3145,0.3164,0.1426,0.3486,0.1338,0.3428,0.1621
0.337,0.3096,0.335,0.1494,0.3232,0.337,0.3154,0.3145,0.3145,0.1426,0.3486,0.1367,0.3428,0.1621
0.338,0.3105,0.335,0.1514,0.3223,0.338,0.3164,0.3154,0.3135,0.1436,0.3486,0.1396,0.3418,0.1621
0.338,0.3105,0.337,0.1543,0.3232,0.338,0.3164,0.3145,0.3135,0.1445,0.3486,0.1406,0.3418,0.1621
0.334,0.3125,0.335,0.1543,0.3213,0.338,0.3164,0.3164,0.3115,0.1445,0.3486,0.1445,0.3428,0.1592
0.335,0.3145,0.335,0.1562,0.3213,0.337,0.3184,0.3184,0.3135,0.1455,0.3486,0.1465,0.3428,0.1592
0.336,0.3154,0.336,0.1592,0.3223,0.337,0.3203,0.3193,0.3145,0.1465,0.3486,0.1504,0.3438,0.1582
0.335,0.3174,0.336,0.1592,0.3232,0.334,0.3232,0.3223,0.3164,0.1475,0.3486,0.1533,0.3438,0.1572
0.334,0.3184,0.336,0.1611,0.3223,0.334,0.3232,0.3232,0.3164,0.1484,0.3477,0.1562,0.3438,0.1562
0.335,0.3193,0.337,0.1641,0.3242,0.334,0.3242,0.3242,0.3174,0.1494,0.3477,0.1602,0.3438,0.1543
0.334,0.3203,0.336,0.165,0.3252,0.334,0.3262,0.3271,0.3193,0.1504,0.3477,0.1611,0.3428,0.1553
0.334,0.3213,0.337,0.166,0.3262,0.334,0.3281,0.329,0.3184,0.1514,0.3477,0.1631,0.3438,0.1553
0.334,0.3213,0.338,0.169,0.3262,0.334,0.3281,0.33,0.3174,0.1523,0.3477,0.1641,0.3447,0.1572
0.334,0.3213,0.3389,0.1699,0.3271,0.334,0.329,0.33,0.3203,0.1533,0.3477,0.165,0.3457,0.1572
0.334,0.3223,0.3389,0.1709,0.329,0.336,0.3271,0.33,0.3213,0.1533,0.3477,0.1582,0.3447,0.1592
0.334,0.3232,0.3389,0.1729,0.33,0.336,0.3271,0.331,0.3213,0.1543,0.3477,0.1553,0.3438,0.1562
0.335,0.3242,0.3398,0.1748,0.332,0.335,0.3281,0.331,0.3223,0.1553,0.3477,0.1514,0.3428,0.1572
0.334,0.3252,0.3408,0.1748,0.331,0.335,0.33,0.331,0.3232,0.1572,0.3477,0.1494,0.3428,0.1572
0.331,0.3262,0.3389,0.1768,0.33,0.335,0.331,0.332,0.3232,0.1572,0.3467,0.1445,0.3447,0.1572
0.332,0.3271,0.3398,0.1777,0.33,0.335,0.332,0.334,0.3232,0.1592,0.3467,0.1416,0.3457,0.1562
0.332,0.3271,0.3398,0.1787,0.331,0.336,0.334,0.334,0.3242,0.1592,0.3467,0.1396,0.3457,0.1562
0.334,0.3271,0.3418,0.1807,0.332,0.337,0.332,0.335,0.3252,0.1602,0.3477,0.1377,0.3467,0.1572
0.334,0.3262,0.3418,0.1807,0.332,0.337,0.332,0.335,0.3242,0.1621,0.3467,0.1396,0.3477,0.1582
0.334,0.3252,0.3418,0.1816,0.331,0.338,0.333,0.334,0.3242,0.1631,0.3467,0.1406,0.3467,0.1562
0.335,0.3271,0.3428,0.1826,0.332,0.337,0.333,0.334,0.3242,0.1641,0.3467,0.1426,0.3477,0.1553
0.334,0.3262,0.3428,0.1846,0.332,0.336,0.334,0.334,0.3232,0.165,0.3467,0.1455,0.3477,0.1553
0.333,0.3271,0.3418,0.1846,0.331,0.335,0.334,0.335,0.3223,0.167,0.3467,0.1475,0.3486,0.1553
0.333,0.3281,0.3408,0.1855,0.329,0.334,0.335,0.336,0.3223,0.167,0.3467,0.1445,0.3477,0.1562
0.33,0.329,0.3398,0.1865,0.3281,0.333,0.334,0.337,0.3223,0.169,0.3467,0.1436,0.3477,0.1553
0.33,0.329,0.3398,0.1875,0.329,0.332,0.335,0.338,0.3232,0.1709,0.3467,0.1416,0.3477,0.1562
