DDPG_small,DDPG_small_plus,DDPG_small_ultra,DDPG_medium,DDPG_medium_plus,DDPG_medium_ultra,DDPG_large,DDPG_large_plus,DDPG_large_ultra,MALA,fisher_MALA,rwm,NUTS_1c,NUTS_4c
1.547,1.547,1.547,1.547,1.547,1.547,1.547,1.547,1.547,1.547,1.02,1.547,0.3691,0.3691
0.1396,0.0825,0.0498,0.3032,0.1421,0.1094,0.1118,0.126,0.2822,1.333,1.025,0.0874,0.03223,0.0674
0.0337,0.04248,0.01758,0.1274,0.02539,0.01855,0.02246,0.0293,0.0991,1.038,0.1787,0.08496,0.01563,0.02734
0.01855,0.01758,0.007812,0.0381,0.006836,0.01074,0.01172,0.01563,0.02002,0.6104,0.02539,0.04688,0.02148,0.01465
0.006836,0.01172,0.004883,0.02051,0.007812,0.00879,0.01074,0.01953,0.009766,0.127,0.03418,0.01855,0.012695,0.012695
0.000977,0.00293,0.001953,0.00879,0.000977,0.004883,0.00586,0.01172,0.00293,0.0371,0.05176,0.01465,0.006836,0.01172
0.000977,0.00293,0.001953,0.004883,0.003906,0.003906,0.003906,0.003906,0.00293,0.012695,0.04395,0.007812,0.000977,0.003906
0.001953,0.001953,0.001953,0.001953,0.001953,0.00293,0.001953,0.001953,0.001953,0.003906,0.06055,0.007812,0.000977,0.001953
0.00293,0.000977,0.000977,0.000977,0.000977,0.000977,0.00293,0.000977,0.001953,0.001953,0.0703,0.003906,0.001953,0.000977
0.000977,0.000977,0.0,0.000977,0.001953,0.000977,0.000977,0.007812,0.000977,0.0,0.084,0.000977,0.000977,0.0
0.0,0.000977,0.000977,0.0,0.000977,0.000977,0.000977,0.01172,0.000977,0.000977,0.0781,0.0,0.0,0.000977
