DDPG_small,DDPG_small_plus,DDPG_small_ultra,DDPG_medium,DDPG_medium_plus,DDPG_medium_ultra,DDPG_large,DDPG_large_plus,DDPG_large_ultra,MALA,fisher_MALA,rwm,NUTS_1c,NUTS_4c
0.11816,0.11816,0.11816,0.11816,0.3242,0.11816,0.11816,0.3242,0.5117,0.11816,0.4912,0.11816,0.4248,0.4248
0.01074,0.08203,0.2041,0.1562,0.03906,0.0947,0.0703,0.01465,0.1357,0.1328,0.1318,0.0625,0.4814,0.2148
0.05762,0.04004,0.06934,0.084,0.02832,0.01563,0.01074,0.02539,0.01465,0.1475,0.03613,0.0635,0.459,0.1895
0.004883,0.009766,0.02832,0.02637,0.009766,0.01172,0.01953,0.003906,0.001953,0.1396,0.0459,0.0166,0.42,0.1807
0.0166,0.012695,0.01172,0.006836,0.01563,0.01172,0.01465,0.00586,0.006836,0.1455,0.01855,0.0,0.2441,0.10156
0.00586,0.000977,0.001953,0.006836,0.00586,0.00293,0.004883,0.006836,0.00586,0.1562,0.03418,0.000977,0.1797,0.06836
0.004883,0.003906,0.001953,0.003906,0.00293,0.03223,0.000977,0.000977,0.003906,0.0781,0.000977,0.000977,0.0654,0.02539
0.00293,0.0,0.001953,0.001953,0.000977,0.02344,0.0,0.000977,0.001953,0.01855,0.01172,0.000977,0.06836,0.03125
0.000977,0.0,0.0,0.000977,0.0,0.009766,0.0,0.000977,0.0,0.007812,0.001953,0.000977,0.02051,0.03027
0.0,0.0,0.0,0.0,0.000977,0.000977,0.0,-0.000977,0.0,0.000977,0.000977,0.0,0.007812,0.02832
0.0,0.0,0.0,-0.000977,0.0,0.000977,0.0,0.0,0.000977,0.0,0.0,0.0,0.001953,0.00879
