DDPG_small,DDPG_small_plus,DDPG_small_ultra,DDPG_medium,DDPG_medium_plus,DDPG_medium_ultra,DDPG_large,DDPG_large_plus,DDPG_large_ultra,MALA,fisher_MALA,rwm,NUTS_1c,NUTS_4c
0.11816,0.11816,0.11816,0.11816,0.3242,0.11816,0.11816,0.3242,0.5117,0.11816,0.4912,0.11816,0.4248,0.4248
0.1377,0.1211,0.1201,0.1396,0.2285,0.1211,0.125,0.2285,0.1172,0.11914,0.2656,0.1484,0.4258,0.1484
0.05957,0.1465,0.1387,0.1465,0.08496,0.0674,0.127,0.08496,0.1748,0.11914,0.1396,0.127,0.4746,0.2305
0.1035,0.1084,0.1631,0.042,0.06055,0.0742,0.1523,0.06055,0.2002,0.1221,0.1572,0.03516,0.4854,0.2031
0.04688,0.11816,0.1963,0.0635,0.0625,0.0752,0.1943,0.0625,0.2188,0.124,0.0918,0.06152,0.496,0.2383
0.04297,0.0967,0.2295,0.08203,0.05566,0.08496,0.2324,0.05566,0.1816,0.125,0.1387,0.0947,0.4854,0.1973
0.03223,0.0869,0.2617,0.1113,0.03516,0.10645,0.254,0.03516,0.168,0.1279,0.1748,0.09375,0.4795,0.2236
0.0332,0.0879,0.293,0.1113,0.0459,0.09863,0.1523,0.009766,0.166,0.1299,0.1719,0.0801,0.4922,0.207
0.01172,0.08594,0.21,0.1416,0.04688,0.0918,0.09766,0.006836,0.1641,0.1328,0.1602,0.1094,0.4844,0.2266
0.01074,0.08203,0.2041,0.1562,0.03906,0.0947,0.0703,0.01465,0.1357,0.1328,0.1318,0.0625,0.4814,0.2148
0.02246,0.0703,0.2236,0.1748,0.02246,0.0537,0.05762,0.01855,0.083,0.1318,0.11914,0.08887,0.4756,0.2295
0.02637,0.0703,0.21,0.1855,0.0293,0.0332,0.0547,0.02637,0.083,0.1328,0.08887,0.1162,0.4727,0.2031
0.03223,0.05664,0.1963,0.1982,0.0332,0.0459,0.05566,0.02734,0.0537,0.1348,0.09863,0.1133,0.4785,0.2197
0.0293,0.0498,0.1514,0.1904,0.042,0.0586,0.03906,0.02637,0.0674,0.1367,0.0703,0.1123,0.4854,0.2119
0.02539,0.04004,0.11035,0.1709,0.04395,0.03613,0.0332,0.02148,0.0625,0.1387,0.0674,0.0957,0.4912,0.2266
0.0332,0.04102,0.0918,0.1377,0.0293,0.02344,0.03418,0.02832,0.0625,0.1406,0.0625,0.083,0.4932,0.2012
0.04102,0.03516,0.0791,0.1162,0.0293,0.01855,0.03516,0.0293,0.04102,0.1426,0.0635,0.0928,0.4814,0.2139
0.05078,0.04004,0.07324,0.10156,0.03418,0.01855,0.02344,0.03223,0.02832,0.1445,0.04785,0.08105,0.4736,0.1924
0.05273,0.04004,0.06445,0.0967,0.03125,0.01563,0.0166,0.03125,0.01953,0.1465,0.03906,0.0713,0.4658,0.2041
